Date,EUROSTOXX,VSTOXX
1999-01-04,3543.1,18.2033
1999-01-05,3604.67,29.6912
1999-01-06,3685.36,25.167
1999-01-07,3627.87,32.5205
1999-01-08,3616.57,33.2296
1999-01-11,3546.4,36.8411
1999-01-12,3502.38,37.5664
1999-01-13,3336.45,39.7373
1999-01-14,3365.43,39.1373
1999-01-15,3426.06,38.6741
1999-01-18,3515.43,38.5439
1999-01-19,3515.69,38.7869
1999-01-20,3601.36,35.5535
1999-01-21,3561.56,36.9171
1999-01-22,3426.11,39.9439
1999-01-25,3428.8,40.7034
1999-01-26,3433.87,42.7544
1999-01-27,3453.7,41.7569
1999-01-28,3511.31,39.1479
1999-01-29,3547.15,37.614
1999-02-01,3597.04,37.0314
1999-02-02,3541.43,38.6119
1999-02-03,3488.13,39.9634
1999-02-04,3487.08,38.7933
1999-02-05,3489.98,37.8148
1999-02-08,3462.29,38.7652
1999-02-09,3342.58,39.5509
1999-02-10,3325.56,40.304
1999-02-11,3375.42,37.8309
1999-02-12,3405.68,36.0635
1999-02-15,3414.97,37.6696
1999-02-16,3402.21,36.0135
1999-02-17,3343.04,36.6858
1999-02-18,3380.58,35.563
1999-02-19,3415.52,33.9143
1999-02-22,3470.89,32.0859
1999-02-23,3537.81,31.2627
1999-02-24,3556.69,30.7791
1999-02-25,3496.27,31.7813
1999-02-26,3484.24,30.7952
1999-03-01,3441.74,32.4626
1999-03-02,3451.18,32.0338
1999-03-03,3393.95,31.9273
1999-03-04,3434.49,30.8785
1999-03-05,3536.64,29.2587
1999-03-08,3495.43,29.8568
1999-03-09,3493.54,28.9631
1999-03-10,3485.05,27.9453
1999-03-11,3521.63,27.0558
1999-03-12,3574.73,26.9831
1999-03-15,3582.78,27.7671
1999-03-16,3606.67,27.4854
1999-03-17,3589.16,28.156
1999-03-18,3579.21,28.1701
1999-03-19,3633.05,26.9936
1999-03-22,3607.82,27.138
1999-03-23,3520.64,28.8415
1999-03-24,3472.44,29.9038
1999-03-25,3528.43,28.0526
1999-03-26,3488.15,28.573
1999-03-29,3536.62,27.319
1999-03-30,3523.24,27.2308
1999-03-31,3559.86,25.2455
1999-04-01,3573.6,24.6067
1999-04-06,3644.76,24.6069
1999-04-07,3659.41,25.0337
1999-04-08,3669.21,24.9114
1999-04-09,3689.61,24.3759
1999-04-12,3690.16,25.2893
1999-04-13,3725.4,24.4003
1999-04-14,3699.33,25.4744
1999-04-15,3652.06,26.5825
1999-04-16,3655.15,25.7353
1999-04-19,3705.63,25.0928
1999-04-20,3613.96,26.7889
1999-04-21,3643.26,25.7711
1999-04-22,3676.61,25.2493
1999-04-23,3662.31,25.2358
1999-04-26,3678.37,25.7839
1999-04-27,3756.2,24.3193
1999-04-28,3743.49,24.47
1999-04-29,3735.91,24.7805
1999-04-30,3757.87,23.737
1999-05-03,3776.39,24.1008
1999-05-04,3775.33,24.4724
1999-05-05,3716.13,25.6464
1999-05-06,3700.37,26.9529
1999-05-07,3683.34,27.0848
1999-05-10,3693.41,27.306
1999-05-11,3702.38,26.5551
