Date,V2TX,V6I1,V6I2,V6I3,V6I4,V6I5,V6I6,V6I7,V6I8
2014-01-02,18.9286,19.9466,18.5214,18.8076,19.1863,19.8064,20.6816,21.228,21.5389
2014-01-03,18.0018,18.5943,17.8041,18.2287,18.916,19.8585,20.5033,21.2235,21.5963
2014-01-06,18.1672,19.1401,17.9734,18.2578,19.0033,19.804,20.4582,21.2469,21.5533
2014-01-07,17.1932,17.2873,17.1782,17.6856,18.5028,19.6273,20.2527,21.0458,21.4446
2014-01-08,17.3671,17.2185,17.3863,17.9256,18.7437,19.5699,20.3126,20.9656,21.42
2014-01-09,17.3584,17.1739,17.3775,17.9118,19.0003,19.7275,20.4312,21.0801,21.5676
2014-01-10,16.5627,15.9428,16.6126,17.371,18.5822,19.6137,20.312,21.1117,21.4305
2014-01-13,17.0978,19.4469,17.016,17.5304,18.6383,19.5782,20.2635,20.927,21.2587
2014-01-14,16.8066,17.3526,16.7949,17.4505,18.6929,19.5769,20.3239,20.9365,21.3766
2014-01-15,16.5089,20.455,16.4578,17.0964,18.4519,19.5375,20.2045,20.9716,21.6152
2014-01-16,17.0561,,17.2579,17.7101,18.7972,19.5503,20.3559,21.0505,21.7287
2014-01-17,15.7352,,16.0782,17.0032,18.4417,19.4357,20.1228,21.0543,21.7044
2014-01-20,16.0913,16.1777,16.8481,,18.3174,19.2975,20.1107,21.01,21.5982
2014-01-21,16.1749,16.2137,16.9178,14.5105,18.405,19.3618,20.1971,21.0909,21.6704
2014-01-22,16.4469,16.4357,17.1316,17.5979,18.5433,19.5179,20.3252,21.1777,21.7223
2014-01-23,17.5122,17.4788,17.876,18.0967,19.0667,19.8805,20.6917,21.3881,21.9326
2014-01-24,20.9333,21.0255,20.395,19.9202,20.5132,20.8004,21.4983,21.9742,22.4665
2014-01-27,20.6842,20.835,20.3724,20.1259,20.4093,20.8484,21.3654,22.1444,22.6056
2014-01-28,19.9723,20.0671,19.8193,19.8008,20.0627,20.6835,21.1011,21.9303,22.099
2014-01-29,21.8127,22.3588,21.0882,20.6596,20.6243,20.9873,21.4286,21.8581,22.1124
2014-01-30,21.1181,21.4488,20.7649,20.3892,20.5434,20.9048,21.2607,21.909,22.1848
2014-01-31,21.8188,22.1693,21.5107,20.9168,20.921,21.222,21.5106,21.8944,22.1763
2014-02-03,24.0207,25.0521,23.4873,22.4738,22.1735,22.1588,22.0929,22.2503,22.4823
2014-02-04,23.0114,23.3206,22.8808,22.076,21.9357,21.9727,22.0262,22.5323,22.6717
2014-02-05,22.6486,22.8325,22.5841,21.9217,21.9605,22.0889,22.0805,22.4125,22.4208
2014-02-06,20.801,20.9756,20.7501,20.6346,20.9184,21.3729,21.4524,21.9759,22.1938
2014-02-07,19.2347,18.8492,19.3258,19.4788,20.0471,20.5742,20.9379,21.6263,21.8707
2014-02-10,19.3075,18.8662,19.3627,19.4799,20.1141,20.7235,21.02,21.6848,21.8531
2014-02-11,17.6719,16.7473,17.7612,18.2568,19.1985,20.0133,20.4345,21.3549,21.6017
2014-02-12,17.9259,17.1875,17.9809,18.3719,19.3026,20.0482,20.4308,21.1311,21.446
2014-02-13,17.4978,16.3333,17.5612,18.0522,19.1355,20.0123,20.453,21.0952,21.4248
2014-02-14,16.3821,13.9771,16.4709,17.306,18.6294,19.5874,20.15,20.968,21.323
2014-02-17,17.2038,16.7933,17.2071,17.7026,18.8877,19.7706,20.3224,20.9773,21.3551
2014-02-18,17.0973,16.937,17.0977,17.5252,18.634,19.6581,20.2625,20.9742,21.3555
2014-02-19,17.448,19.4352,17.4423,17.7978,18.7032,19.5635,20.116,20.9459,21.334
2014-02-20,17.7721,,17.7522,17.9867,18.9148,19.7293,20.3531,20.9945,21.3406
2014-02-21,17.3772,,17.3456,17.554,18.5932,19.5984,20.173,20.9721,21.4154
2014-02-24,16.7175,16.5059,17.1312,,18.3087,19.3458,19.9214,20.893,21.2997
2014-02-25,16.2399,15.938,16.7002,15.4249,17.9058,19.0448,19.7272,20.7811,21.1898
2014-02-26,16.1415,15.7998,16.5591,15.3414,17.8858,19.077,19.747,20.6944,21.1575
2014-02-27,17.1187,16.8954,17.3431,17.5657,18.4636,19.3787,19.9312,20.7933,21.2521
2014-02-28,16.7667,16.4309,17.0427,17.3746,18.2418,19.2995,19.8384,20.7625,21.2417
2014-03-03,21.8609,23.1378,21.2215,20.5403,20.8753,21.0936,21.1225,21.3974,21.6693
